pname	PID	interID	NumberID
granzyme a mediated apoptosis pathway(BioCarta)	100035	100478	101020
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	100478	101020
induction of apoptosis through dr3 and dr4/5 death receptors(BioCarta)	100189	100478	101020
caspase cascade in apoptosis(BioCarta)	100218	100478	101020
granzyme a mediated apoptosis pathway(BioCarta)	100035	100478	101022
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	100478	101022
induction of apoptosis through dr3 and dr4/5 death receptors(BioCarta)	100189	100478	101022
caspase cascade in apoptosis(BioCarta)	100218	100478	101022
granzyme a mediated apoptosis pathway(BioCarta)	100035	100478	100379
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	100478	100379
induction of apoptosis through dr3 and dr4/5 death receptors(BioCarta)	100189	100478	100379
caspase cascade in apoptosis(BioCarta)	100218	100478	100379
sumoylation by ranbp2 regulates transcriptional repression(BioCarta)	100053	100688	101169
sumoylation by ranbp2 regulates transcriptional repression(BioCarta)	100053	100688	101176
sumoylation by ranbp2 regulates transcriptional repression(BioCarta)	100053	100688	101177
cyclins and cell cycle regulation(BioCarta)	100207	103172	100122
cyclins and cell cycle regulation(BioCarta)	100207	103172	101004
cyclins and cell cycle regulation(BioCarta)	100207	103172	101005
cyclins and cell cycle regulation(BioCarta)	100207	103172	102210
cardiac protection against ros(BioCarta)	100163	102489	100265
cardiac protection against ros(BioCarta)	100163	102489	100265
cardiac protection against ros(BioCarta)	100163	102489	27
e2f1 destruction pathway(BioCarta)	100034	100471	101005
e2f1 destruction pathway(BioCarta)	100034	100471	101014
e2f1 destruction pathway(BioCarta)	100034	100471	101010
inhibition of matrix metalloproteinases(BioCarta)	100045	100598	100610
inhibition of matrix metalloproteinases(BioCarta)	100045	100598	101108
inhibition of matrix metalloproteinases(BioCarta)	100045	100598	101107
inhibition of matrix metalloproteinases(BioCarta)	100045	100598	101110
inhibition of matrix metalloproteinases(BioCarta)	100045	100598	101109
tgf beta signaling pathway(BioCarta)	100017	100224	26583
tgf beta signaling pathway(BioCarta)	100017	100224	100839
tgf beta signaling pathway(BioCarta)	100017	100224	100241
cell cycle: g1/s check point(BioCarta)	100160	102423	101184
cell cycle: g1/s check point(BioCarta)	100160	102423	101184
cell cycle: g1/s check point(BioCarta)	100160	102423	27509
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102190	100200
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102190	100200
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102190	100052
toll-like receptor pathway(BioCarta)	100013	100197	100796
toll-like receptor pathway(BioCarta)	100013	100197	100798
toll-like receptor pathway(BioCarta)	100013	100197	100797
growth hormone signaling pathway(BioCarta)	100155	102327	100226
growth hormone signaling pathway(BioCarta)	100155	102327	100226
growth hormone signaling pathway(BioCarta)	100155	102327	100205
role of mal in rho-mediated activation of srf(BioCarta)	100114	101647	101634
role of mal in rho-mediated activation of srf(BioCarta)	100114	101647	101633
role of mal in rho-mediated activation of srf(BioCarta)	100114	101647	100570
role of mal in rho-mediated activation of srf(BioCarta)	100114	101647	101073
ionomycin and phorbal ester signaling pathway(BioCarta)	100121	101749	26539
ionomycin and phorbal ester signaling pathway(BioCarta)	100121	101749	26539
ionomycin and phorbal ester signaling pathway(BioCarta)	100121	101749	101697
ionomycin and phorbal ester signaling pathway(BioCarta)	100121	101749	26540
ionomycin and phorbal ester signaling pathway(BioCarta)	100121	101749	26540
attenuation of gpcr signaling(BioCarta)	100253	103792	102448
attenuation of gpcr signaling(BioCarta)	100253	103792	102444
attenuation of gpcr signaling(BioCarta)	100253	103792	102445
attenuation of gpcr signaling(BioCarta)	100253	103792	100404
cycling of ran in nucleocytoplasmic transport(BioCarta)	100050	100647	100008
cycling of ran in nucleocytoplasmic transport(BioCarta)	100050	100647	101133
cycling of ran in nucleocytoplasmic transport(BioCarta)	100050	100647	101140
cycling of ran in nucleocytoplasmic transport(BioCarta)	100050	100647	101136
cycling of ran in nucleocytoplasmic transport(BioCarta)	100050	100647	101135
il-2 receptor beta chain in t cell activation(BioCarta)	100129	101865	101775
il-2 receptor beta chain in t cell activation(BioCarta)	100129	101865	101775
il-2 receptor beta chain in t cell activation(BioCarta)	100129	101865	26549
